"","Date","SPY","TLT","portvalue","rebasePort","rebasespy","rebasetlt"
"1",2002-07-30,68.555537,45.728237,1000,100,100,100
"2",2002-07-31,68.721386,46.294781,1007.40428043047,100.740428043047,100.241919190276,101.238936895818
"3",2002-08-01,66.927208,46.558399,997.201142101934,99.7201142101934,97.6248030848332,101.815425335554
"4",2002-08-02,65.427039,47.035179,991.473064414412,99.1473064414412,95.4365494941714,102.858063388711
"5",2002-08-05,63.150395,47.24276,977.138411651768,97.7138411651768,92.1156740410333,103.31200828932
"6",2002-08-06,65.276265,46.83889,988.227159884835,98.8227159884835,95.2166197750008,102.428812201966
"7",2002-08-07,66.414587,46.95108,997.756052271861,99.7756052271861,96.8770575015699,102.674152952802
"8",2002-08-08,68.563071,46.95108,1013.42571291503,101.342571291503,100.010989630203,102.674152952802
"9",2002-08-09,68.819385,47.612961,1022.53221718308,102.253221718308,100.384867527185,104.121575909432
"10",2002-08-12,68.314303,47.904697,1022.03836288029,102.203836288029,99.6481188674811,104.759553708576
"11",2002-08-13,67.070442,48.493664,1019.40630186922,101.940630186922,97.8337344217725,106.047525952072
"12",2002-08-14,69.52047,48.678753,1039.29902383807,103.929902383807,101.407520154061,106.452284613553
"13",2002-08-15,70.485403,48.252438,1041.67522688163,104.167522688163,102.815040308123,105.520005068203
"14",2002-08-16,70.274324,47.713978,1034.24814295329,103.424814295329,102.507145411172,104.342483179485
"15",2002-08-19,71.917727,47.859787,1047.82836697353,104.782836697353,104.904330338773,104.661343055933
"16",2002-08-20,71.156333,48.392693,1048.10212987875,104.810212987875,103.793706699431,105.826719276319
"17",2002-08-21,72.181575,48.134663,1052.75824361591,105.275824361591,105.289197865958,105.262450857224
"18",2002-08-22,72.88266,47.713978,1053.2716683616,105.32716683616,106.311850492835,104.342483179485
"19",2002-08-23,71.314641,48.185177,1046.98771284317,104.698771284317,104.024626048805,105.37291651983
"20",2002-08-26,71.812188,48.230034,1051.10697444989,105.110697444989,104.750383619634,105.471011270345
"21",2002-08-27,70.982949,47.927132,1041.74705859263,104.174705859263,103.54079642028,104.808615298246
"22",2002-08-28,69.430005,48.168297,1033.05782116341,103.305782116341,101.275561447356,105.336002785325
"23",2002-08-29,69.46016,48.555363,1037.50999510189,103.750999510189,101.319547682925,106.182451337453
"24",2002-08-30,69.188772,48.847061,1038.72013905233,103.872013905233,100.923681773509,106.820346036957
"25",2002-09-03,66.550281,49.598019,1027.6877796926,102.76877796926,97.0749904562778,108.462565482242
"26",2002-09-04,67.500139,49.586754,1034.49225976046,103.449225976046,98.4605211392334,108.437930812859
"27",2002-09-05,66.927208,49.857182,1033.27057333761,103.327057333761,97.6248030848332,109.029311582688
"28",2002-09-06,67.846912,49.271255,1033.57168150614,103.357168150614,98.9663489908919,107.747987310335
"29",2002-09-09,68.344458,49.198051,1036.40003759397,103.640003759397,99.6921051030495,107.587902415744
"30",2002-09-10,69.128462,49.434624,1044.70478634918,104.470478634918,100.835709302372,108.105247967465
"31",2002-09-11,68.698765,49.175529,1038.73786578274,103.873786578274,100.208922584911,107.538650571637
"32",2002-09-12,67.432289,49.558571,1033.68924797598,103.368924797598,98.3615502858653,108.37629930933
"33",2002-09-13,67.598138,50.014893,1039.88834308518,103.988834308518,98.6034694761417,109.374199140894
"34",2002-09-16,67.763987,50.099392,1042.02186488133,104.202186488133,98.845388666418,109.558984309848
"35",2002-09-17,66.211049,50.19516,1031.74287670519,103.174287670519,96.5801624455221,109.768412895516
"36",2002-09-18,65.547653,50.206444,1027.02787399568,102.702787399568,95.6124856844167,109.793089114719
"37",2002-09-19,63.85148,50.544434,1018.35271668724,101.835271668724,93.1383266679101,110.532216669538
"38",2002-09-20,63.872685,50.307858,1015.92061175958,101.592061175958,93.1692577945965,110.014864557319
"39",2002-09-23,63.350197,50.758511,1017.03743367797,101.703743367797,92.4071195007925,111.000367234801
"40",2002-09-24,62.327927,51.085251,1013.15428214171,101.315428214171,90.9159635056173,111.714892922725
"41",2002-09-25,63.872685,50.465607,1017.64546504881,101.764546504881,93.1692577945965,110.359835215165
"42",2002-09-26,64.917671,50.347271,1023.97301580004,102.397301580004,94.6935489689184,110.10105419109
"43",2002-09-27,62.661112,50.724716,1011.64217078583,101.164217078583,91.4019709305173,110.926463226649
"44",2002-09-30,61.934168,50.92754,1008.55801942427,100.855801942427,90.3415985203354,111.370005364519
"45",2002-10-01,64.910097,50.29591,1023.35618636561,102.335618636561,94.6825009918601,109.988736281261
"46",2002-10-02,62.964006,50.584286,1012.31580031683,101.231580031683,91.8437937405406,110.619366322826
"47",2002-10-03,62.327927,50.459888,1006.31646112535,100.631646112535,90.9159635056173,110.347328719452
"48",2002-10-04,61.184508,50.618233,999.708468302706,99.9708468302706,89.2480909310068,110.693602729534
"49",2002-10-07,59.919923,50.703049,991.412790519869,99.1412790519869,87.4034769795472,110.879081124426
"50",2002-10-08,60.858897,50.719978,998.446167484474,99.8446167484474,88.7731314831652,110.916102013729
"51",2002-10-09,59.139972,50.980141,988.75409861065,98.875409861065,86.2657847753421,111.485034946788
"52",2002-10-10,61.055774,50.578629,998.336528699313,99.8336528699313,89.0603103291278,110.606995410735
"53",2002-10-11,63.728814,49.979191,1011.27761063468,101.127761063468,92.959397283986,109.29612484295
"54",2002-10-14,64.084709,49.905689,1013.06959704122,101.306959704122,93.4785311360044,109.13538827224
"55",2002-10-15,67.166651,48.723793,1022.6242564567,102.26242564567,97.9740717369043,106.550779554436
"56",2002-10-16,65.538603,48.746426,1010.9977942268,101.09977942268,95.5992847083963,106.600274136963
