Date,BAC,S&P500
21/08/2000,26.9375,1499.47998
22/08/2000,27.21875,1498.130005
23/08/2000,27.03125,1505.969971
24/08/2000,26.25,1508.310059
25/08/2000,25.875,1506.449951
28/08/2000,25.84375,1514.089966
29/08/2000,25.4375,1509.839966
30/08/2000,25.4375,1502.589966
31/08/2000,26.789049,1517.680054
01/09/2000,26.25,1520.77002
05/09/2000,26.75,1507.079956
06/09/2000,26.8125,1492.25
07/09/2000,27.1875,1502.51001
08/09/2000,27.96875,1494.5
11/09/2000,28.28125,1489.26001
12/09/2000,28.5,1481.98999
13/09/2000,28.40625,1484.910034
14/09/2000,28.164049,1480.869995
15/09/2000,27.4375,1465.810059
18/09/2000,26.84375,1444.51001
19/09/2000,27.4375,1459.900024
20/09/2000,26.90625,1451.339966
21/09/2000,26.5,1449.050049
22/09/2000,27.5,1448.719971
25/09/2000,27.5,1439.030029
26/09/2000,26.90625,1427.209961
27/09/2000,26.34375,1426.569946
28/09/2000,27,1458.290039
29/09/2000,26.1875,1436.51001
02/10/2000,26.53125,1436.22998
03/10/2000,27.09375,1426.459961
04/10/2000,26.375,1434.319946
05/10/2000,26.9375,1436.280029
06/10/2000,25.8125,1408.98999
09/10/2000,25.28125,1402.030029
10/10/2000,24.34375,1387.02002
11/10/2000,23.53125,1364.589966
12/10/2000,22.28125,1329.780029
13/10/2000,23.28125,1374.170044
16/10/2000,22.59375,1374.619995
17/10/2000,21.375,1349.969971
18/10/2000,21.09375,1342.130005
19/10/2000,22.03125,1388.76001
20/10/2000,21.875,1396.930054
23/10/2000,21.875,1395.780029
24/10/2000,22.25,1398.130005
25/10/2000,22.03125,1364.900024
26/10/2000,21.6875,1364.439941
27/10/2000,22.46875,1379.579956
30/10/2000,23.5,1398.660034
31/10/2000,24.03125,1429.400024
01/11/2000,24.1875,1421.219971
02/11/2000,24.625,1428.319946
03/11/2000,24.34375,1426.689941
06/11/2000,25.53125,1432.189941
07/11/2000,25.34375,1431.869995
08/11/2000,24.375,1409.280029
09/11/2000,24.875,1400.140015
10/11/2000,24.1875,1365.97998
13/11/2000,23.71875,1351.26001
14/11/2000,22.9375,1382.949951
15/11/2000,21,1389.810059
16/11/2000,20.9375,1372.319946
17/11/2000,20.15625,1367.719971
20/11/2000,19.65625,1342.619995
21/11/2000,19.8125,1347.349976
22/11/2000,19.28125,1322.359985
24/11/2000,19.65625,1341.77002
27/11/2000,19.84375,1348.969971
28/11/2000,20.25,1336.089966
29/11/2000,20.34375,1341.930054
30/11/2000,19.96875,1314.949951
01/12/2000,19.875,1315.22998
04/12/2000,19.5,1324.969971
05/12/2000,20.59375,1376.540039
06/12/2000,19,1351.459961
07/12/2000,19.5,1343.550049
08/12/2000,20.4375,1369.890015
11/12/2000,21.71875,1380.199951
12/12/2000,21.71875,1371.180054
13/12/2000,21.46875,1359.98999
14/12/2000,21.15625,1340.930054
15/12/2000,20.90625,1312.150024
18/12/2000,21.75,1322.73999
19/12/2000,22.125,1305.599976
20/12/2000,21.375,1264.73999
21/12/2000,22.90625,1274.859985
22/12/2000,23.0625,1305.949951
26/12/2000,23.15625,1315.189941
27/12/2000,23.40625,1328.920044
28/12/2000,23.40625,1334.219971
29/12/2000,22.9375,1320.280029
02/01/2001,23.375,1283.27002
03/01/2001,24.96875,1347.560059
04/01/2001,25.75,1333.339966
05/01/2001,24,1298.349976
08/01/2001,24.125,1295.859985
09/01/2001,23.5,1300.800049
10/01/2001,24.28125,1313.27002
11/01/2001,24.71875,1326.819946
12/01/2001,24.53125,1318.550049
16/01/2001,25.46875,1326.650024
17/01/2001,24.78125,1329.469971
18/01/2001,24.46875,1347.969971
19/01/2001,24.59375,1342.540039
22/01/2001,25.1875,1342.900024
23/01/2001,25.1875,1360.400024
24/01/2001,25.53125,1364.300049
25/01/2001,25.75,1357.51001
26/01/2001,26.59375,1354.949951
29/01/2001,27.01,1364.170044
30/01/2001,27.735001,1373.72998
31/01/2001,26.91,1366.01001
01/02/2001,26.639999,1373.469971
02/02/2001,26.799999,1349.469971
05/02/2001,26.629999,1354.310059
06/02/2001,25.48,1352.26001
07/02/2001,24.75,1340.890015
08/02/2001,24.375,1332.530029
09/02/2001,24.75,1314.76001
12/02/2001,25.030001,1330.310059
13/02/2001,25.120001,1318.800049
14/02/2001,25.4,1315.920044
15/02/2001,25.445,1326.609985
16/02/2001,25.700001,1301.530029
20/02/2001,24.559999,1278.939941
21/02/2001,23.875,1255.27002
22/02/2001,24.125,1252.819946
23/02/2001,24.57,1245.859985
26/02/2001,25.49,1267.650024
27/02/2001,25.715,1257.939941
28/02/2001,25.35,1239.939941
01/03/2001,24.67,1241.22998
02/03/2001,24.525,1234.180054
05/03/2001,24.540001,1241.410034
06/03/2001,25.129999,1253.800049
07/03/2001,26.375,1261.890015
08/03/2001,26.860001,1264.73999
09/03/2001,26.25,1233.420044
12/03/2001,25.809999,1180.160034
13/03/2001,27.125,1197.660034
14/03/2001,25.875,1166.709961
15/03/2001,26.125,1173.560059
16/03/2001,25.700001,1150.530029
19/03/2001,26.485001,1170.810059
20/03/2001,25.645,1142.619995
21/03/2001,25.475,1122.140015
22/03/2001,24.834999,1117.579956
23/03/2001,26.389999,1139.829956
26/03/2001,26.25,1152.689941
27/03/2001,27.24,1182.170044
28/03/2001,27.209999,1153.290039
29/03/2001,26.58,1147.949951
30/03/2001,27.375,1160.329956
02/04/2001,27.004999,1145.869995
03/04/2001,26.125,1106.459961
04/04/2001,25.155001,1103.25
05/04/2001,25.924999,1151.439941
06/04/2001,24.795,1128.430054
09/04/2001,25.299999,1137.589966
10/04/2001,25.959999,1168.380005
11/04/2001,26.275,1165.890015
12/04/2001,26.475,1183.5
16/04/2001,26.225,1179.680054
17/04/2001,26,1191.810059
18/04/2001,27.59,1238.160034
19/04/2001,28.200001,1253.689941
20/04/2001,27.504999,1242.97998
23/04/2001,27.465,1224.359985
24/04/2001,27.25,1209.469971
25/04/2001,27.450001,1228.75
26/04/2001,27.559999,1234.52002
27/04/2001,28.459999,1253.050049
30/04/2001,28,1249.459961
01/05/2001,28.225,1266.439941
02/05/2001,28.055,1267.430054
03/05/2001,27.975,1248.579956
04/05/2001,28.190001,1266.609985
07/05/2001,28.115,1263.51001
08/05/2001,27.855,1261.199951
09/05/2001,27.690001,1255.540039
10/05/2001,27.889999,1255.180054
11/05/2001,26.76,1245.670044
14/05/2001,27.200001,1248.920044
15/05/2001,27.525,1249.439941
16/05/2001,28.275,1284.98999
17/05/2001,28.299999,1288.48999
18/05/2001,28.5,1291.959961
21/05/2001,28.245001,1312.829956
22/05/2001,29.32,1309.380005
23/05/2001,29.305,1289.050049
24/05/2001,29.995001,1293.170044
25/05/2001,29.355,1277.890015
29/05/2001,29.799999,1267.930054
30/05/2001,29.389999,1248.079956
31/05/2001,29.625,1255.819946
01/06/2001,29.049999,1260.670044
04/06/2001,29.315001,1267.109985
05/06/2001,29.975,1283.569946
06/06/2001,29.844999,1270.030029
07/06/2001,29.799999,1276.959961
08/06/2001,29.514999,1264.959961
11/06/2001,29.370001,1254.390015
12/06/2001,29.549999,1255.849976
13/06/2001,29.549999,1241.599976
14/06/2001,28.85,1219.869995
15/06/2001,29.01,1214.359985
18/06/2001,29.620001,1208.430054
19/06/2001,29.860001,1212.579956
20/06/2001,30.07,1223.140015
21/06/2001,30.690001,1237.040039
22/06/2001,30.969999,1225.349976
25/06/2001,30.6,1218.599976
26/06/2001,30.200001,1216.76001
27/06/2001,30.16,1211.069946
28/06/2001,29.99,1226.199951
29/06/2001,30.014999,1224.380005
02/07/2001,30.25,1236.719971
03/07/2001,30.245001,1234.449951
05/07/2001,30.139999,1219.23999
06/07/2001,29.18,1190.589966
09/07/2001,29.459999,1198.780029
10/07/2001,28.49,1181.52002
11/07/2001,28.674999,1180.180054
12/07/2001,29.715,1208.140015
13/07/2001,30.125,1215.680054
16/07/2001,30.690001,1202.449951
17/07/2001,31.85,1214.439941
18/07/2001,32.040001,1207.709961
19/07/2001,31.75,1215.02002
20/07/2001,31.424999,1210.849976
23/07/2001,31.174999,1191.030029
24/07/2001,31.004999,1171.650024
25/07/2001,31.200001,1190.48999
26/07/2001,31.555,1202.930054
27/07/2001,31.75,1205.819946
30/07/2001,31.775,1204.52002
31/07/2001,31.809999,1211.22998
01/08/2001,31.5,1215.930054
02/08/2001,31.73,1220.75
03/08/2001,31.674999,1214.349976
06/08/2001,31.389999,1200.47998
07/08/2001,31.525,1204.400024
08/08/2001,31.405001,1183.530029
09/08/2001,31.65,1183.430054
10/08/2001,31.450001,1190.160034
13/08/2001,31.645,1191.290039
14/08/2001,31.280001,1186.72998
15/08/2001,31.25,1178.02002
16/08/2001,31.690001,1181.660034
17/08/2001,31.344999,1161.969971
20/08/2001,31.785,1171.410034
21/08/2001,31.754999,1157.26001
22/08/2001,32.325001,1165.310059
23/08/2001,32.5,1162.089966
24/08/2001,31.620001,1184.930054
27/08/2001,31.375,1179.209961
28/08/2001,30.93,1161.51001
29/08/2001,30.025,1148.560059
30/08/2001,30.115,1129.030029
31/08/2001,30.75,1133.579956
04/09/2001,30.955,1132.939941
05/09/2001,30.645,1131.73999
06/09/2001,29.889999,1106.400024
07/09/2001,29.295,1085.780029
10/09/2001,28.825001,1092.540039
17/09/2001,27.174999,1038.77002
18/09/2001,27.535,1032.73999
19/09/2001,27.5,1016.099976
20/09/2001,26.815001,984.539978
21/09/2001,25.5,965.799988
24/09/2001,26.674999,1003.450012
25/09/2001,27.549999,1012.27002
26/09/2001,27.525,1007.039978
27/09/2001,28.440001,1018.609985
28/09/2001,29.200001,1040.939941
01/10/2001,29.475,1038.550049
02/10/2001,29.74,1051.329956
03/10/2001,29.995001,1072.280029
04/10/2001,29.445,1069.630005
05/10/2001,28.065001,1071.380005
08/10/2001,27.125,1062.439941
09/10/2001,26.075001,1056.75
10/10/2001,27.4,1080.98999
11/10/2001,27.299999,1097.430054
12/10/2001,26.504999,1091.650024
15/10/2001,27.775,1089.97998
16/10/2001,28.855,1097.540039
17/10/2001,28.549999,1077.089966
18/10/2001,28.5,1068.609985
19/10/2001,28.514999,1073.47998
22/10/2001,29.205,1089.900024
23/10/2001,29.455,1084.780029
24/10/2001,29.975,1085.199951
25/10/2001,30.395,1100.089966
26/10/2001,30.325001,1104.609985
29/10/2001,29.75,1078.300049
30/10/2001,29.5,1059.790039
31/10/2001,29.495001,1059.780029
01/11/2001,29.975,1084.099976
02/11/2001,30.434999,1087.199951
05/11/2001,30.514999,1102.839966
06/11/2001,31.055,1118.859985
07/11/2001,31.375,1115.800049
08/11/2001,31.549999,1118.540039
09/11/2001,31.525,1120.310059
12/11/2001,31.51,1118.329956
13/11/2001,31.73,1139.089966
14/11/2001,31.75,1141.209961
15/11/2001,31.620001,1142.23999
16/11/2001,31.27,1138.650024
19/11/2001,31.975,1151.060059
20/11/2001,31.754999,1142.660034
21/11/2001,31.790001,1137.030029
23/11/2001,32.494999,1150.339966
26/11/2001,32.465,1157.420044
27/11/2001,31.74,1149.5
28/11/2001,30.855,1128.52002
29/11/2001,31.799999,1140.199951
30/11/2001,30.690001,1139.449951
03/12/2001,30.715,1129.900024
